basis, p, CDIM, VDIM, N, stream, accel, time, time-per-DOF
ms, 1, 1, 1, 4, 1.13245e-08, 1.44348e-08, 2.57593e-08, 6.43983e-09
ms, 2, 1, 1, 8, 2.66371e-08, 4.47874e-08, 7.14245e-08, 8.92806e-09
ms, 1, 1, 2, 8, 1.70677e-08, 9.80795e-08, 1.15147e-07, 1.43934e-08
ms, 2, 1, 2, 20, 5.68918e-08, 5.52587e-07, 6.09479e-07, 3.04739e-08
ms, 1, 1, 3, 16, 3.04266e-08, 3.51908e-07, 3.82335e-07, 2.38959e-08
ms, 2, 1, 3, 48, 1.28025e-07, 3.04416e-06, 3.17219e-06, 6.60873e-08
ms, 1, 2, 2, 16, 6.44548e-08, 2.52821e-07, 3.17275e-07, 1.98297e-08
ms, 2, 2, 2, 48, 2.43615e-07, 3.48934e-06, 3.73296e-06, 7.777e-08
ms, 1, 2, 3, 32, 1.11212e-07, 1.2733e-06, 1.38451e-06, 4.32659e-08
ms, 2, 2, 3, 112, 6.10944e-07, 2.91037e-05, 2.97146e-05, 2.65309e-07
mo, 1, 1, 1, 3, 1.08079e-08, 1.40989e-08, 2.49068e-08, 8.30228e-09
mo, 2, 1, 1, 6, 1.47404e-08, 2.78961e-08, 4.26365e-08, 7.10608e-09
mo, 3, 1, 1, 10, 3.04142e-08, 7.20003e-08, 1.02414e-07, 1.02414e-08
mo, 4, 1, 1, 15, 5.22592e-08, 1.74363e-07, 2.26622e-07, 1.51081e-08
mo, 1, 1, 2, 4, 1.1416e-08, 3.79733e-08, 4.93893e-08, 1.23473e-08
mo, 2, 1, 2, 10, 2.0845e-08, 1.37453e-07, 1.58298e-07, 1.58298e-08
mo, 3, 1, 2, 20, 4.67754e-08, 5.44426e-07, 5.91201e-07, 2.95601e-08
mo, 4, 1, 2, 35, 1.12112e-07, 1.56126e-06, 1.67337e-06, 4.78105e-08
mo, 1, 1, 3, 5, 1.15612e-08, 7.60871e-08, 8.76483e-08, 1.75297e-08
mo, 2, 1, 3, 15, 2.62733e-08, 3.64907e-07, 3.91181e-07, 2.60787e-08
mo, 3, 1, 3, 35, 7.10467e-08, 1.76836e-06, 1.83941e-06, 5.25545e-08
mo, 4, 1, 3, 70, 2.01319e-07, 6.05401e-06, 6.25532e-06, 8.93618e-08
mo, 1, 2, 2, 5, 2.20737e-08, 4.78807e-08, 6.99545e-08, 1.39909e-08
mo, 2, 2, 2, 15, 5.0734e-08, 2.68742e-07, 3.19476e-07, 2.12984e-08
mo, 3, 2, 2, 35, 1.39501e-07, 1.67404e-06, 1.81354e-06, 5.18153e-08
mo, 4, 2, 2, 70, 4.48319e-07, 7.14919e-06, 7.59751e-06, 1.08536e-07
mo, 1, 2, 3, 6, 3.19826e-08, 9.21766e-08, 1.24159e-07, 2.06932e-08
mo, 2, 2, 3, 21, 8.3669e-08, 7.24045e-07, 8.07714e-07, 3.84626e-08
mo, 3, 2, 3, 56, 2.21641e-07, 4.99431e-06, 5.21595e-06, 9.3142e-08
mo, 4, 2, 3, 126, 6.47382e-07, 3.62519e-05, 3.68992e-05, 2.92851e-07
